,open,close,high,low,volume,money
2021-06-30 14:00:00,5185.0,5183.8,5185.8,5183.8,239.0,371759700.0
2021-06-30 14:01:00,5183.6,5180.0,5183.6,5180.0,694.0,1078821360.0
2021-06-30 14:02:00,5181.4,5183.2,5183.4,5180.0,353.0,548761080.0
2021-06-30 14:03:00,5183.2,5184.6,5186.0,5183.2,216.0,335965500.0
2021-06-30 14:04:00,5184.8,5185.6,5186.2,5184.0,113.0,175782360.0
2021-06-30 14:05:00,5185.6,5185.2,5186.2,5183.6,170.0,264418500.0
2021-06-30 14:06:00,5185.2,5187.4,5189.0,5184.6,269.0,418618920.0
2021-06-30 14:07:00,5187.8,5190.4,5191.6,5187.0,356.0,554199360.0
2021-06-30 14:08:00,5190.4,5188.8,5190.4,5188.2,114.0,177473760.0
2021-06-30 14:09:00,5189.0,5188.0,5189.0,5186.6,117.0,182089140.0
2021-06-30 14:10:00,5188.0,5188.0,5188.8,5187.4,101.0,157196880.0
2021-06-30 14:11:00,5188.0,5186.4,5188.8,5186.4,104.0,161857380.0
2021-06-30 14:12:00,5186.4,5187.8,5188.8,5186.0,134.0,208537080.0
2021-06-30 14:13:00,5188.4,5189.0,5190.0,5187.6,200.0,311360460.0
2021-06-30 14:14:00,5188.8,5191.0,5191.0,5188.6,137.0,213299880.0
2021-06-30 14:15:00,5190.8,5189.4,5190.8,5189.2,164.0,255345420.0
2021-06-30 14:16:00,5189.4,5188.4,5189.6,5186.8,150.0,233475900.0
2021-06-30 14:17:00,5188.4,5189.4,5190.0,5188.4,85.0,132321540.0
2021-06-30 14:18:00,5189.6,5187.4,5190.0,5187.4,79.0,122981760.0
2021-06-30 14:19:00,5187.0,5187.4,5187.6,5185.8,143.0,222506400.0
2021-06-30 14:20:00,5187.8,5190.6,5190.8,5187.4,111.0,172808280.0
2021-06-30 14:21:00,5190.4,5193.0,5193.0,5190.0,161.0,250744260.0
2021-06-30 14:22:00,5193.0,5191.0,5193.4,5189.6,200.0,311513160.0
2021-06-30 14:23:00,5191.0,5191.4,5192.8,5190.6,97.0,151092180.0
2021-06-30 14:24:00,5191.8,5190.2,5191.8,5189.4,67.0,104327640.0
2021-06-30 14:25:00,5190.2,5188.4,5190.8,5188.2,110.0,171249420.0
2021-06-30 14:26:00,5188.4,5190.6,5190.6,5187.4,112.0,174357420.0
2021-06-30 14:27:00,5190.0,5193.0,5193.4,5190.0,152.0,236763000.0
2021-06-30 14:28:00,5193.0,5189.2,5193.0,5189.2,150.0,233627880.0
2021-06-30 14:29:00,5189.2,5188.4,5191.4,5188.4,135.0,210198480.0
2021-06-30 14:30:00,5189.0,5187.0,5190.0,5186.4,204.0,317489640.0
2021-06-30 14:31:00,5188.0,5184.6,5188.2,5183.4,343.0,533645940.0
2021-06-30 14:32:00,5185.2,5186.4,5186.4,5184.2,235.0,365561460.0
2021-06-30 14:33:00,5186.6,5187.2,5188.4,5185.8,171.0,266088840.0
2021-06-30 14:34:00,5187.2,5189.0,5189.8,5186.2,235.0,365757540.0
2021-06-30 14:35:00,5189.4,5188.4,5190.4,5188.0,170.0,264657000.0
2021-06-30 14:36:00,5188.8,5188.6,5190.2,5188.0,166.0,258420120.0
2021-06-30 14:37:00,5188.4,5190.4,5190.6,5188.2,161.0,250668060.0
2021-06-30 14:38:00,5190.6,5190.8,5191.6,5189.8,172.0,267839460.0
2021-06-30 14:39:00,5191.0,5192.6,5193.4,5190.6,176.0,274143900.0
2021-06-30 14:40:00,5192.2,5192.4,5192.6,5191.2,105.0,163548540.0
2021-06-30 14:41:00,5192.6,5194.6,5195.0,5192.0,323.0,503281500.0
2021-06-30 14:42:00,5194.8,5194.6,5195.0,5192.2,196.0,305393640.0
2021-06-30 14:43:00,5194.6,5194.8,5195.0,5193.2,165.0,257104680.0
2021-06-30 14:44:00,5194.2,5195.0,5195.8,5194.2,162.0,252480120.0
2021-06-30 14:45:00,5195.0,5196.6,5196.6,5194.4,155.0,241585440.0
2021-06-30 14:46:00,5196.8,5197.4,5197.8,5195.6,289.0,450566820.0
2021-06-30 14:47:00,5197.4,5197.4,5198.6,5196.2,305.0,475582620.0
2021-06-30 14:48:00,5197.0,5197.2,5197.2,5195.8,186.0,289963980.0
2021-06-30 14:49:00,5197.6,5197.6,5198.0,5196.4,266.0,414746640.0
2021-06-30 14:50:00,5197.8,5196.8,5198.0,5195.6,221.0,344535660.0
2021-06-30 14:51:00,5197.0,5198.4,5199.0,5196.6,383.0,597241560.0
2021-06-30 14:52:00,5198.6,5198.8,5199.6,5196.8,320.0,499059420.0
2021-06-30 14:53:00,5199.0,5197.0,5199.4,5197.0,247.0,385171860.0
2021-06-30 14:54:00,5197.0,5193.6,5197.6,5193.0,555.0,864971340.0
2021-06-30 14:55:00,5193.6,5194.0,5195.2,5193.4,314.0,489302280.0
2021-06-30 14:56:00,5194.2,5193.6,5195.0,5193.0,413.0,643552440.0
2021-06-30 14:57:00,5193.6,5195.4,5196.0,5193.6,432.0,673268880.0
2021-06-30 14:58:00,5195.4,5193.2,5196.0,5192.8,451.0,702720900.0
2021-06-30 14:59:00,5192.8,5192.8,5194.4,5191.2,664.0,1034365440.0
2021-06-30 15:00:00,5192.2,5192.6,5193.8,5191.4,531.0,827195100.0
2021-07-01 09:31:00,5215.0,5218.2,5219.2,5212.8,2451.0,3835378440.0
2021-07-01 09:32:00,5218.2,5211.0,5220.8,5210.2,1219.0,1907544000.0
2021-07-01 09:33:00,5210.8,5209.2,5211.6,5206.0,858.0,1340814540.0
2021-07-01 09:34:00,5209.0,5203.8,5210.4,5202.2,985.0,1538537340.0
2021-07-01 09:35:00,5203.2,5198.4,5205.8,5198.4,1180.0,1841218560.0
2021-07-01 09:36:00,5199.0,5202.4,5204.8,5197.8,738.0,1151787600.0
2021-07-01 09:37:00,5202.0,5202.0,5203.8,5199.0,546.0,851947980.0
2021-07-01 09:38:00,5201.6,5200.4,5204.8,5199.0,455.0,710095980.0
2021-07-01 09:39:00,5200.2,5188.0,5200.8,5188.0,1486.0,2315229660.0
2021-07-01 09:40:00,5187.2,5178.2,5188.2,5176.0,1716.0,2668497000.0
2021-07-01 09:41:00,5179.0,5178.2,5180.8,5176.2,1266.0,1966829820.0
2021-07-01 09:42:00,5178.0,5177.8,5179.8,5176.0,666.0,1034479980.0
2021-07-01 09:43:00,5177.8,5164.0,5177.8,5164.0,1447.0,2244868620.0
2021-07-01 09:44:00,5163.6,5162.6,5166.6,5162.0,1177.0,1823489940.0
2021-07-01 09:45:00,5162.2,5155.6,5162.8,5152.6,1767.0,2733716760.0
2021-07-01 09:46:00,5155.0,5161.8,5161.8,5148.0,1749.0,2704440720.0
2021-07-01 09:47:00,5161.8,5163.0,5164.4,5159.0,887.0,1373561520.0
2021-07-01 09:48:00,5162.2,5160.2,5163.0,5159.0,582.0,901064460.0
2021-07-01 09:49:00,5160.2,5162.0,5162.0,5157.2,426.0,659335080.0
2021-07-01 09:50:00,5161.8,5161.2,5163.0,5159.0,615.0,952170240.0
2021-07-01 09:51:00,5160.6,5162.4,5166.0,5159.8,704.0,1090622820.0
2021-07-01 09:52:00,5163.2,5158.4,5163.2,5156.8,529.0,818699520.0
2021-07-01 09:53:00,5158.4,5161.6,5164.8,5156.0,464.0,718333380.0
2021-07-01 09:54:00,5161.2,5166.6,5167.6,5160.0,533.0,825885660.0
2021-07-01 09:55:00,5167.0,5168.4,5168.4,5163.6,470.0,728464440.0
2021-07-01 09:56:00,5167.8,5172.4,5172.8,5167.2,821.0,1273462800.0
2021-07-01 09:57:00,5173.0,5175.2,5177.8,5173.0,1100.0,1707953340.0
2021-07-01 09:58:00,5175.4,5172.6,5176.8,5172.2,564.0,875559780.0
2021-07-01 09:59:00,5172.6,5176.0,5176.6,5171.2,390.0,605313840.0
2021-07-01 10:00:00,5175.6,5175.0,5176.8,5173.0,335.0,520102740.0
2021-07-01 10:01:00,5175.4,5177.0,5178.2,5174.6,561.0,871253940.0
2021-07-01 10:02:00,5177.6,5179.8,5182.8,5176.6,864.0,1342780740.0
2021-07-01 10:03:00,5179.6,5175.0,5179.6,5175.0,629.0,976780320.0
2021-07-01 10:04:00,5175.2,5176.4,5176.4,5174.4,265.0,411443820.0
2021-07-01 10:05:00,5176.0,5180.4,5181.0,5174.4,331.0,514240560.0
2021-07-01 10:06:00,5180.4,5183.2,5184.0,5180.0,515.0,800726280.0
2021-07-01 10:07:00,5183.2,5178.6,5184.0,5178.4,369.0,573479220.0
2021-07-01 10:08:00,5178.4,5179.8,5180.8,5177.0,249.0,386840400.0
2021-07-01 10:09:00,5180.2,5174.0,5180.2,5174.0,342.0,531051780.0
2021-07-01 10:10:00,5174.0,5176.2,5177.2,5174.0,230.0,357135480.0
2021-07-01 10:11:00,5176.0,5178.8,5179.8,5176.0,179.0,278066400.0
2021-07-01 10:12:00,5178.8,5174.8,5178.8,5174.8,224.0,347850960.0
2021-07-01 10:13:00,5175.0,5173.8,5177.2,5173.4,243.0,377234460.0
2021-07-01 10:14:00,5173.6,5175.0,5176.6,5173.4,228.0,353924940.0
2021-07-01 10:15:00,5174.8,5174.4,5176.4,5174.2,133.0,206487780.0
2021-07-01 10:16:00,5174.2,5173.2,5176.0,5172.8,187.0,290283960.0
2021-07-01 10:17:00,5173.2,5173.0,5174.8,5172.2,294.0,456265680.0
2021-07-01 10:18:00,5173.4,5172.8,5177.0,5172.0,370.0,574322520.0
2021-07-01 10:19:00,5172.2,5175.8,5177.0,5172.0,183.0,284073660.0
